block,feature,line,orientation,channel,x_cm,y_cm,twt_ns,depth_m,envelope
A,A-1,2,X-line,HF,0.0,50.0,15.9912,0.9611,1.677
A,A-1,2,X-line,HF,2.5,50.0,15.9912,0.9611,1.836
A,A-1,2,X-line,HF,5.0,50.0,15.8692,0.9537,1.509
A,A-1,2,X-line,HF,7.5,50.0,15.8692,0.9537,1.293
A,A-1,2,X-line,HF,10.0,50.0,15.8692,0.9537,2.074
A,A-1,2,X-line,HF,12.5,50.0,15.7471,0.9464,1.956
A,A-1,2,X-line,HF,14.9,50.0,15.625,0.9391,1.246
A,A-1,2,X-line,HF,17.4,50.0,15.625,0.9391,1.279
A,A-1,2,X-line,HF,19.9,50.0,15.5029,0.9317,0.987
A,A-1,2,X-line,HF,22.4,50.0,15.3809,0.9244,2.088
A,A-1,2,X-line,HF,24.9,50.0,15.2588,0.9171,2.157
A,A-1,2,X-line,HF,27.4,50.0,15.2588,0.9171,1.739
A,A-1,2,X-line,HF,29.9,50.0,15.1367,0.9097,0.736
A,A-1,2,X-line,HF,32.4,50.0,15.0147,0.9024,1.58
A,A-1,2,X-line,HF,34.9,50.0,14.8926,0.895,1.794
A,A-1,2,X-line,HF,37.4,50.0,14.8926,0.895,1.691
A,A-1,2,X-line,HF,39.8,50.0,14.7705,0.8877,1.882
A,A-1,2,X-line,HF,42.3,50.0,14.7705,0.8877,1.431
A,A-1,2,X-line,HF,44.8,50.0,14.6484,0.8804,1.657
A,A-1,2,X-line,HF,47.3,50.0,14.6484,0.8804,1.395
A,A-1,2,X-line,HF,49.8,50.0,14.5264,0.873,1.157
A,A-1,2,X-line,HF,52.3,50.0,14.4043,0.8657,0.822
A,A-1,4,X-line,HF,323.7,150.0,9.7656,0.5869,1.782
A,A-1,4,X-line,HF,326.2,150.0,9.6436,0.5796,1.816
A,A-1,4,X-line,HF,328.7,150.0,9.5215,0.5722,1.774
A,A-1,4,X-line,HF,331.2,150.0,9.4605,0.5686,1.518
A,A-1,4,X-line,HF,333.7,150.0,9.3384,0.5612,2.028
A,A-1,4,X-line,HF,336.2,150.0,9.2163,0.5539,1.735
A,A-1,4,X-line,HF,338.6,150.0,9.0942,0.5466,2.066
A,A-1,4,X-line,HF,341.1,150.0,9.0332,0.5429,1.533
A,A-1,4,X-line,HF,343.6,150.0,8.9111,0.5356,1.706
A,A-1,4,X-line,HF,346.1,150.0,8.7891,0.5282,2.218
A,A-1,4,X-line,HF,348.6,150.0,8.667,0.5209,2.006
A,A-1,4,X-line,HF,351.1,150.0,8.606,0.5172,1.697
A,A-1,4,X-line,HF,353.6,150.0,8.4839,0.5099,1.496
A,A-1,4,X-line,HF,356.1,150.0,8.3618,0.5025,1.389
A,A-1,4,X-line,HF,358.6,150.0,8.2398,0.4952,1.276
A,A-1,4,X-line,HF,361.1,150.0,8.1787,0.4915,1.268
A,A-1,4,X-line,HF,363.5,150.0,8.0566,0.4842,1.558
A,A-1,4,X-line,HF,366.0,150.0,7.9346,0.4769,1.439
A,A-1,4,X-line,HF,368.5,150.0,7.9346,0.4769,1.343
A,A-1,4,X-line,HF,371.0,150.0,7.8125,0.4695,1.033
A,A-1,5,X-line,HF,263.9,200.0,15.3809,0.9244,1.507
A,A-1,5,X-line,HF,266.4,200.0,15.2588,0.9171,1.247
A,A-1,5,X-line,HF,268.9,200.0,15.2588,0.9171,1.252
A,A-1,5,X-line,HF,271.4,200.0,15.1367,0.9097,1.548
A,A-1,5,X-line,HF,273.9,200.0,15.0147,0.9024,1.817
A,A-1,5,X-line,HF,276.4,200.0,14.8926,0.895,1.0
A,A-1,5,X-line,HF,278.9,200.0,14.8316,0.8914,1.448
A,A-1,5,X-line,HF,281.4,200.0,14.7095,0.884,1.367
A,A-1,5,X-line,HF,283.9,200.0,14.5874,0.8767,1.535
